Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,260330,..,..,..,365982,..,..
Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,26211,27648,..,..,..,..,95185,..,97504,..,..,262874,..,..,..,370610,..,..
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2525,..,..,..,4600,..,..
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,0,..,..,19,..,..,..,28,..,..
Albania,ALB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,123302,121519,110159,99485,94527,84629,89231,..
Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,40125,40859,42160,43600,53014,63257,74747,86863,90606,93139,122326,134877,160839,174851,176003,162659,148597,141850,131833,139043,..
Albania,ALB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,45955,47747,46423,43710,42616,42664,43749,..
Albania,ALB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,0,0,0,0,0,..,..,..,..,..,..,2094,2628,3772,4553,3945,3551,2464,1412,1865,..
Algeria,DZA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,985731,818807,782639,872810,947156,996087,..,..
Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,549009,624788,682775,716452,792121,817968,901562,..,1149666,1144271,1188562,1210272,1252579,1245478,1289474,1439594,1545523,1600676,..,..
Algeria,DZA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,1607,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,465,433,407,455,508,558.5,553.5,..
Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,267,306,331,342,401,..,459,..,..,..,491,538,498,501,548,590,629,633,..
Andorra,AND,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,28,26,52,39,32,24,35,..
Andorra,AND,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,15,15,18,23,26,25.5,23.5,..
Angola,AGO,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,12566,48184,37547,48184,48694,..,..,..,..,142798,..,218679,..,221037,253287,..,..,..,..
Angola,AGO,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,1037,1170,1068,1792,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,0,0,0,0,..,..,..,..,..,..,..,..
Arab World,ARB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,7550653.39256,8039773.39992,8443723.22782,8907244.23706,9006920.73671,9233410.04218,9261392.01976,..,..
Arab World,ARB,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,5091089.33063,5402626.42622,5802302.32958,5959178.66237,6469052.72722,6904955.10582,7220627.33149,7594477.42322,8012799.69231,8391844.14154,8731368.97436,8622046.55778,9192872.57076,9800904.62519,10253890.18773,10779016.58827,10951281.70464,11253884.73442,11334774.8425,11441414.87139,..
Arab World,ARB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,734421.05348,777113.90238,794558.99846,848463.18307,899892.38913,935082.88793,959788.52732,..,..
Arab World,ARB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,73564.44466,79382.41886,83519.74154,92339.45826,107962.20401,100056.6618,103904.838,103715.38146,109055.64357,114659.73211,117511.60441,122102.66055,125660.89107,136923.6513,149289.82263,152651.1119,162680.60267,171023.6013,177403.0985,..,..
Argentina,ARG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2210454,..,..,..
Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,1766933,1918708,2026735,2101437,2116876,2082577,2202032,2208291,2287874,2387049,2520985,2660514,2726557,2768211,2869450,2966125,3061139,3140963,..,..,..
Argentina,ARG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,276648,..,..,..
Argentina,ARG,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,5973,6015,6073,7277,4967,4981,10880,11410,12715,13549,18248,21246,22787,24595,23993,25960,26568,26098,..,..,..
Armenia,ARM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,90145,85922,79623,84591,81648,78747,69622,..
Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,92914,90417,99761,104891,108750,115475,127499,135725,141407,146224,146125,141455,121265,115207,113090,105865,109330,104838,102891,92087,..
Armenia,ARM,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,12105,14932,14476,11911,10910,11793,10855,..
Armenia,ARM,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1032,1012,1358,1320,1405,1520,1562,1568,1474,1392,1449,1289,1099,1155,1277,1269,1217,1255,1130,985,..
Aruba,ABW,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,825,870,788,848,..,..,..,..
Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,1578,1628,1592,1672,1704,2106,2094,2232,2242,2196,2330,2504,2621,1181,1235,1166,1191,..,..,..,..
Aruba,ABW,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,93,79,104,55,..,..,..,..
Aruba,ABW,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,905913,930675,952578,977963,981844,999034,..,..
Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1903454,1918625,1774852,1677242,..,..
Australia,AUS,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,204739,233268,248800,264976,269041,304632,..,..
Australia,AUS,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,27615,28960,33430,35258,37070,38776,40417,41355,42403,44249,47054,49973,52317,55086,56360,57492,58027,55669,56110,..,..
Austria,AUT,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,180234.0047,179406.13892,183767.59481,192466.67837,195963.53312,199235.73132,..,..
Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,321504,334378,345812,385499,400158,413482,422778.225,421224.81667,425971.69798,431124.95484,430370.39722,430195.275,..,..
Austria,AUT,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,140087.2222,139696.91685,140268.90275,137751.80873,135559.99039,135346.1126,..,..
Austria,AUT,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,25656.56536,24579.41842,24058.24892,23511.881,22867.89673,20396.37352,..,..
Azerbaijan,AZE,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,139748,143906,143620,147207,150082,149192,160631,..
Azerbaijan,AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,181293,181937,180298,180276,180727,181057,184834,187590,195401,204152,207604,206196,200609,218279,..
Azerbaijan,AZE,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,10277,11742,18781,17959,17935,18485,20954,..
Azerbaijan,AZE,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,962,1010,1022,1117,1235,1386,1559,1785,1764,1729,1148,877,1082,2012,2496,2935,2875,2723,2723,2626,..
"Bahamas, The",BHS,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29881,31520,33982,36309,38562,40003,..
Bahrain,BHR,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,19079,..,18841,18403,..,..,..,..,40175,40498,37094,38113,38901,40669,42717,44940,47193,..
Bahrain,BHR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3795,4104,3594,3570,3788,4035,..
Bahrain,BHR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,4,..,10,5,..,..,..,..,..,..,..,135,121,125,183,140,268,..
Bangladesh,BGD,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2073521,2122613.89377,2462422,2919335,..
Bangladesh,BGD,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,726701,878537,855339,877335,821364,911600,1053566,1145401,1294535,1582175,..,2008337,2037118,..,2068355,..,2699345,2763253.62746,3150539,3695233,..
Bangladesh,BGD,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,471080,482232,495539,563065,..
Bangladesh,BGD,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,1192,1438,1387,1521,2336,2582,3183,6620,6644,6737,..,7090,6324,..,7092,..,12602,12900.36634,13213,..,..
Barbados,BRB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,8074,7979,..,..,..,..,..,11405,..,14324,13232,12421,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,446,450,..,..,..,..,..,62,..,227,127,133,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,428448,395268,..,336373,313240,284348,..,..
Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,411861,437995,463544,488650,507360,528508,544328,556526,544434,554060,568772,584846,587958,562168,517578,477221,443997,418745,389327,..,..
Belarus,BLR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,6088,7552,..,10227,11782,14947,..,..
Belarus,BLR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,4927,5314,5692,6166,6065,5529,5173,4642,4642,4405,4681,5043,6229,5906,5507,5182,5284,5522,5652,..,..
Belgium,BEL,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,364202,362780,365925,369299,384173,372686,..,..
Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,355748,359265,366982,374532,386110,389547,394427,393687,401652,425219,445309,462419,477712,488488,495910,504745,508270,526760,515530,..,..
Belgium,BEL,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,85553,92959,97920,97979,102067,102785,..,..
Belgium,BEL,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,5916,5613,6350,6424,7014,7391,7482,7389,9779,12505,13410,13323,14168,14610,15604,16486,16685,17021,17339,..,..
Belize,BLZ,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,4652,4762,4657,4977,5129,5260,5383,..
Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,3760,4394,4341,4319,4571,4931,5362,5775,6972,7008,7223,8280,8470,8635,8562,9097,9425,9527,9830,..
Belize,BLZ,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,..,0,0,..
Belize,BLZ,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,22415,28075,34336,39406,41282,42197,50225,61780,62910,82402,114382,110181,123286,145464,149913,131299,129302,126178,132429,..,..
Benin,BEN,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,15626,19094,19820,21174,13322,14431,12657,..,..
Benin,BEN,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,37,46,..,..,..,..,..,..,..,..,..,..,1347,1405,1610,1983,1933,2072,2060,..,..
Bermuda,BMU,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37,8,..,0,0,..,..
Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,1208,1081,1092,1366,1269,1313,1278,1207,1108,973,..,675,712,..,..
Bermuda,BMU,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..
Bermuda,BMU,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..
Bhutan,BTN,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,6849,..,..,..,..,9472,..,10398
Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,3553,3820,4190,5051,4926,5499,6863,7400,8543,..,..,..,..,11944,..,12248
Bhutan,BTN,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,416,..,..,..,..,835,..,398
Bhutan,BTN,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,97326,94157,96425,86199,80906,74365,67031,..
Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,57722,63425,64629,70671,77009,84422,91263,99557,104938,105488,105137,107537,107083,112607,111970,108475,106975,102232,95142,89016,..
Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,14736,17104,11333,19953,20413,19921,21004,..
Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,545,709,717,823,913,856,981,..
Botswana,BWA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30007,33206,32232,31360,..,34515,..
Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,13088,14582,15641,18608,20011,19655,21738,22257,31129,47889,42366,37859,46613,57447,55128,60583,51573,49444,..,50846,..
Botswana,BWA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1587,2234,2396,2263,..,2266,..
Botswana,BWA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52,208,133,193,..,123,..
Brazil,BRA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,7282230,7805816,8027297,8048701,8286663,8450755,..,..
Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,2781328,3125745,3582105,3994422,4275027,4572297,..,5272877,5958135,6115138,6552707,6929324,7241405,7541112,8072146,8285475,8319089,8571423,8741996,..,..
Brazil,BRA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,129573,137531,149533,159195,168389,175220,..,..
Brazil,BRA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,87083,94991,102192,107400,111294,119141,..,49668,52750,57923,64588,71890,79478,88575,94850,102368,107640,112123,115028,..,..
British Virgin Islands,VGB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,750,669,758,..,1136,..,..,..,..,1211,..,..,..,..,..,827,834,..,348,..,..
British Virgin Islands,VGB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,4807,6620,7089,7054,7445,6803,6782,..
Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,3984,4479,4418,4546,4917,5023,5094,5284,5607,6107,5776,6626,8336,8797,11292,10866,11010,11593,10877,11064,..
Brunei Darussalam,BRN,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,1007,1058,886,792,871,874,1027,..
Brunei Darussalam,BRN,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,6,8,11,13,15,16,20,19,23,29,102,92,175,212,176,182,255,294,356,..
Bulgaria,BGR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,195637,191416,186702,178365,165572,155091,..,..
Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,261321,247006,228394,230513,228468,237909,243464,258692,264463,274247,287086,285265,284995,283959,283294,278953,266707,249937,236335,..,..
Bulgaria,BGR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,82951,85823,85634,81592,77627,74680,..,..
Bulgaria,BGR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,3091,3414,3998,4440,4834,5079,5163,4816,4353,3949,3850,4095,4703,5371,6055,6617,6750,6738,6564,..,..
Burkina Faso,BFA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43145,..,..,..,..,..,..
Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,12322,15535,18200,..,27942,30472,33459,41779,47587,51166,60998,68894,74276,81314,83598,94728,105404,117725,132569,..
Burkina Faso,BFA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33243,..,..,..,..,..,..
Burkina Faso,BFA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,0,1236,..,744,1861,2163,2405,..,1415,..,..,..,..,1382,..
Burundi,BDI,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,27144,35184,41130,..,34907,38104,40300,..,..
Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,6132,6289,10546,..,15706,16915,17953,19296,21856,24290,29269,..,28595,36766,44887,51225,37266,40120,41869,..,..
Burundi,BDI,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,650,642,1866,..,1907,1530,1262,..,..
Burundi,BDI,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,57,13,21,..,64,69,..,..,..,..,..,..,121,101,..,..,452,486,307,..,..
Cabo Verde,CPV,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,12074,12516,11566,11847,11782,10988,..,..
Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,801,718,1810,2215,3036,3910,4567,5289,6658,8465,10144,11769,11800,13068,13397,12538,12622,12446,11659,..,..
Cabo Verde,CPV,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,503,432,442,443,362,370,..,..
Cabo Verde,CPV,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,8,8,..,..,..,..,..,..,10,19,10,10,14,30,62,..,..
Cambodia,KHM,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,182987,..,165539,168242,179258,..
